FullID,FullIDOld,PlantOld,Site
CB_1b_16_E,CB-1-2-16-E,2,CB
CB_1a_03_E,CB-1-3-3-E,3,CB
CB_1a_09_L,CB-1-3-9-L,3,CB
CB_1a_06_E,CB-1-3-6-E,3,CB
CB_1a_10_L,CB-1-3-10-L,3,CB
CB_1a_04_L,CB-1-3-4-L,3,CB
CB_1a_12_L,CB-1-3-12-L,3,CB
CB_1a_07_E,CB-1-3-7-E,3,CB
CB_1a_13_E,CB-1-3-13-E,3,CB
CB_1a_05_L,CB-1-3-5-L,3,CB
CB_1a_08_E,CB-1-3-8-E,3,CB
CB_1a_02_L,CB-1-3-2-L,3,CB
CB_1a_14_E,CB-1-3-14-E,3,CB
CB_1a_11_E,CB-1-3-11-E,3,CB
CB_1a_01_L,CB-1-3-1-L,3,CB
CB_1a_15_L,CB-1-3-15-L,3,CB
CB_4a_10_L,CB-4-6-10-L,6,CB
CB_4a_11_E,CB-4-6-11-E,6,CB
CB_4a_04_L,CB-4-6-4-L,6,CB
CB_4a_03_E,CB-4-6-3-E,6,CB
CB_4a_05_E,CB-4-6-5-E,6,CB
CB_4a_01_L,CB-4-6-1-L,6,CB
CB_4a_06_L,CB-4-6-6-L,6,CB
CB_4a_07_L,CB-4-6-7-L,6,CB
CB_4a_08_L,CB-4-6-8-L,6,CB
CB_4a_02_L,CB-4-6-2-L,6,CB
CB_4a_09_E,CB-4-6-9-E,6,CB
CB_4b_12_E,CB-4-7-12-E,7,CB
CB_4b_14_L,CB-4-7-14-L,7,CB
CB_4b_13_E,CB-4-7-13-E,7,CB
CB_2a_01_E,CB-2-10-1-E,10,CB
CB_2a_06_E,CB-2-10-6-E,10,CB
CB_2a_10_E,CB-2-10-10-E,10,CB
CB_2a_02_E,CB-2-10-2-E,10,CB
CB_2a_11_E,CB-2-10-11-E,10,CB
CB_2a_05_E,CB-2-10-5-E,10,CB
CB_2a_07_L,CB-2-10-7-L,10,CB
CB_2a_08_L,CB-2-10-8-L,10,CB
CB_2a_09_L,CB-2-10-9-L,10,CB
CB_2a_03_L,CB-2-10-3-L,10,CB
CB_2a_04_L,CB-2-10-4-L,10,CB
CB_3b_04_L,CB-3-13-4-L,13,CB
CB_3b_02_E,CB-3-13-2-E,13,CB
CB_3b_01_E,CB-3-13-1-E,13,CB
CB_3b_03_L,CB-3-13-3-L,13,CB
CB_3b_05_E,CB-3-13-5-E,13,CB
CB_2b_12_E,CB-2-15-12-E,15,CB
CB_2b_13_L,CB-2-15-13-L,15,CB
CB_2b_16_L,CB-2-15-16-L,15,CB
CB_2b_14_L,CB-2-15-14-L,15,CB
CB_2b_15_L,CB-2-15-15-L,15,CB
CB_3a_14_L,CB-3-14_1-14-L,14_1,CB
CB_3a_07_E,CB-3-14_1-7-E,14_1,CB
CB_3a_06_L,CB-3-14_1-6-L,14_1,CB
CB_3a_11_E,CB-3-14_1-11-E,14_1,CB
CB_3a_09_E,CB-3-14_1-9-E,14_1,CB
CB_3a_08_E,CB-3-14_1-8-E,14_1,CB
CB_3a_12_L,CB-3-14_1-12-L,14_1,CB
CB_3a_10_E,CB-3-14_1-10-E,14_1,CB
CB_3a_13_L,CB-3-14_1-13-L,14_1,CB
CB_3a_15_L,CB-3-14_1-15-L,14_1,CB
CB_3c_16_L,CB-3-14_2-16-L,14_2,CB
LM_1b_03_L,LM-1-1-3-L,1,LM
LM_1b_07_L,LM-1-1-7-L,1,LM
LM_1b_08_L,LM-1-1-8-L,1,LM
LM_1b_06_E,LM-1-1-6-E,1,LM
LM_1b_04_E,LM-1-1-4-E,1,LM
LM_1b_01_E,LM-1-1-1-E,1,LM
LM_1b_05_L,LM-1-1-5-L,1,LM
LM_1b_02_E,LM-1-1-2-E,1,LM
LM_1a_10_E,LM-1-2-10-E,2,LM
LM_1a_15_E,LM-1-2-15-E,2,LM
LM_1a_09_L,LM-1-2-9-L,2,LM
LM_1a_11_L,LM-1-2-11-L,2,LM
LM_1a_12_E,LM-1-2-12-E,2,LM
LM_1a_14_E,LM-1-2-14-E,2,LM
LM_1a_13_L,LM-1-2-13-L,2,LM
LM_1a_16_L,LM-1-2-16-L,2,LM
LM_3c_07_E,LM-3-6-7-E,6,LM
LM_3c_04_L,LM-3-6-4-L,6,LM
LM_3c_05_E,LM-3-6-5-E,6,LM
LM_3c_06_L,LM-3-6-6-L,6,LM
LM_3c_02_L,LM-3-6-2-L,6,LM
LM_3c_03_E,LM-3-6-3-E,6,LM
LM_3c_01_E,LM-3-6-1-E,6,LM
LM_3a_10_L,LM-3-7A-10-L,7A,LM
LM_3a_12_E,LM-3-7A-12-E,7A,LM
LM_3a_08_L,LM-3-7A-8-L,7A,LM
LM_3a_13_E,LM-3-7A-13-E,7A,LM
LM_3a_09_E,LM-3-7A-9-E,7A,LM
LM_3a_11_E,LM-3-7A-11-E,7A,LM
LM_3b_14_L,LM-3-7B-14-L,7B,LM
LM_3b_16_L,LM-3-7B-16-L,7B,LM
LM_3b_15_L,LM-3-7B-15-L,7B,LM
LM_2a_12_E,LM-2-8B-12-E,8B,LM
LM_2a_15_L,LM-2-8B-15-L,8B,LM
LM_2a_10_E,LM-2-8B-10-E,8B,LM
LM_2a_13_L,LM-2-8B-13-L,8B,LM
LM_2a_14_L,LM-2-8B-14-L,8B,LM
LM_2a_11_L,LM-2-8B-11-L,8B,LM
LM_2a_09_E,LM-2-8B-9-E,8B,LM
LM_2b_08_L,LM-2-8C-8-L,8C,LM
LM_2b_02_E,LM-2-8C-2-E,8C,LM
LM_2b_03_L,LM-2-8C-3-L,8C,LM
LM_2b_07_E,LM-2-8C-7-E,8C,LM
LM_2b_01_L,LM-2-8C-1-L,8C,LM
LM_2b_04_E,LM-2-8C-4-E,8C,LM
LM_2b_06_E,LM-2-8C-6-E,8C,LM
LM_2b_16_E,LM-2-8C-16-E,8C,LM
LM_2b_05_L,LM-2-8C-5-L,8C,LM
LM_4a_11_L,LM-4-9A-11-L,9A,LM
LM_4a_07_L,LM-4-9A-7-L,9A,LM
LM_4a_10_E,LM-4-9A-10-E,9A,LM
LM_4a_08_L,LM-4-9A-8-L,9A,LM
LM_4a_09_E,LM-4-9A-9-E,9A,LM
LM_4b_01_L,LM-4-9B-1-L,9B,LM
LM_4b_18_L,LM-4-9B-18-L,9B,LM
LM_4b_03_E,LM-4-9B-3-E,9B,LM
LM_4b_04_E,LM-4-9B-4-E,9B,LM
LM_4b_02_L,LM-4-9B-2-L,9B,LM
LM_4c_12_E,LM-4-9C-12-E,9C,LM
LM_4c_15_L,LM-4-9C-15-L,9C,LM
LM_4c_16_L,LM-4-9C-16-L,9C,LM
LM_4c_13_E,LM-4-9C-13-E,9C,LM
LM_4c_14_L,LM-4-9C-14-L,9C,LM
LM_4c_05_L,LM-4-9D-5-L,9D,LM
LM_4c_17_L,LM-4-9D-17-L,9D,LM
LM_4a_06_E,LM-4-9A-6-E,9A,LM
LT_1a_14_E,LT-1-1A-14-E,1A,LT
LT_1a_15_E,LT-1-1A-15-E,1A,LT
LT_1a_16_E,LT-1-1A-16-E,1A,LT
LT_1b_12_E,LT-1-1B-12-E,1B,LT
LT_1b_01_L,LT-1-1B-1-L,1B,LT
LT_1b_13_E,LT-1-1B-13-E,1B,LT
LT_1b_04_L,LT-1-1B-4-L,1B,LT
LT_1b_03_L,LT-1-1B-3-L,1B,LT
LT_1b_02_E,LT-1-1B-2-E,1B,LT
LT_1c_06_L,LT-1-1C-6-L,1C,LT
LT_1c_10_L,LT-1-1C-10-L,1C,LT
LT_1c_17_E,LT-1-1C-17-E,1C,LT
LT_1c_07_L,LT-1-1C-7-L,1C,LT
LT_1c_11_L,LT-1-1C-11-L,1C,LT
LT_1c_09_L,LT-1-1C-9-L,1C,LT
LT_1c_05_E,LT-1-1C-5-E,1C,LT
LT_1c_08_L,LT-1-1C-8-L,1C,LT
LT_2a_02_L,LT-2-3A-2-L,3A,LT
LT_2a_04_L,LT-2-3A-4-L,3A,LT
LT_2a_03_E,LT-2-3A-3-E,3A,LT
LT_2a_08_L,LT-2-3A-8-L,3A,LT
LT_2a_07_L,LT-2-3A-7-L,3A,LT
LT_2a_05_E,LT-2-3A-5-E,3A,LT
LT_2a_06_E,LT-2-3A-6-E,3A,LT
LT_2a_01_L,LT-2-3A-1-L,3A,LT
LT_2a_09_E,LT-2-3A-9-E,3A,LT
LT_2b_15_E,LT-2-3B-15-E,3B,LT
LT_2b_11_L,LT-2-3B-11-L,3B,LT
LT_2b_12_E,LT-2-3B-12-E,3B,LT
LT_2b_16_E,LT-2-3B-16-E,3B,LT
LT_2b_10_E,LT-2-3B-10-E,3B,LT
LT_2b_14_L,LT-2-3B-14-L,3B,LT
LT_2b_13_L,LT-2-3B-13-L,3B,LT
LT_3a_08_E,LT-3-5A-8-E,5A,LT
LT_3a_05_E,LT-3-5A-5-E,5A,LT
LT_3a_10_E,LT-3-5A-10-E,5A,LT
LT_3a_04_E,LT-3-5A-4-E,5A,LT
LT_3a_07_L,LT-3-5A-7-L,5A,LT
LT_3a_11_E,LT-3-5A-11-E,5A,LT
LT_3a_14_L,LT-3-5A-14-L,5A,LT
LT_3a_06_E,LT-3-5A-6-E,5A,LT
LT_3a_09_L,LT-3-5A-9-L,5A,LT
LT_3a_03_L,LT-3-5A-3-L,5A,LT
LT_3a_12_E,LT-3-5A-12-E,5A,LT
LT_3a_16_L,LT-3-5A-16-L,5A,LT
LT_3a_13_L,LT-3-5A-13-L,5A,LT
LT_3a_15_L,LT-3-5A-15-L,5A,LT
LT_3a_01_L,LT-3-5A-1-L,5A,LT
LT_3a_02_E,LT-3-5A-2-E,5A,LT
LT_4a_04_L,LT-4-6A-4-L,6A,LT
LT_4a_02_L,LT-4-6A-2-L,6A,LT
LT_4a_05_L,LT-4-6A-5-L,6A,LT
LT_4a_12_L,LT-4-6A-12-L,6A,LT
LT_4a_07_E,LT-4-6A-7-E,6A,LT
LT_4a_01_L,LT-4-6A-1-L,6A,LT
LT_4a_06_E,LT-4-6A-6-E,6A,LT
LT_4a_08_L,LT-4-6A-8-L,6A,LT
LT_4a_03_L,LT-4-6A-3-L,6A,LT
LT_4a_10_E,LT-4-6A-10-E,6A,LT
LT_4a_09_E,LT-4-6A-9-E,6A,LT
LT_4a_11_L,LT-4-6A-11-L,6A,LT
LT_4b_14_E,LT-4-6B-14-E,6B,LT
LT_4b_15_E,LT-4-6B-15-E,6B,LT
LT_4b_13_E,LT-4-6B-13-E,6B,LT
LT_4b_16_E,LT-4-6B-16-E,6B,LT
LE_4c_15_L,LE-4-3-15-L,3,LE
LE_4c_13_E,LE-4-3-13-E,3,LE
LE_4c_12_L,LE-4-3-12-L,3,LE
LE_4c_14_L,LE-4-3-14-L,3,LE
LE_4b_10_L,LE-4-10B-10-L,10B,LE
LE_4b_04_L,LE-4-10B-4-L,10B,LE
LE_4b_09_E,LE-4-10B-9-E,10B,LE
LE_4b_05_E,LE-4-10B-5-E,10B,LE
LE_4b_01_L,LE-4-10B-1-L,10B,LE
LE_4b_08_L,LE-4-10B-8-L,10B,LE
LE_4b_07_E,LE-4-10B-7-E,10B,LE
LE_4b_02_E,LE-4-10B-2-E,10B,LE
LE_4b_06_E,LE-4-10B-6-E,10B,LE
LE_4b_03_E,LE-4-10B-3-E,10B,LE
LE_4a_16_L,LE-4-2B-16-L,2B,LE
LE_4a_11_E,LE-4-2B-11-E,2B,LE
LE_3b_01_E,LE-3-5B-1-E,5B,LE
LE_3b_16_L,LE-3-5B-16-L,5B,LE
LE_3b_02_L,LE-3-5B-2-L,5B,LE
LE_3a_15_E,LE-3-5C-15-E,5C,LE
LE_3a_06_E,LE-3-5C-6-E,5C,LE
LE_3a_03_E,LE-3-5C-3-E,5C,LE
LE_3a_13_L,LE-3-5C-13-L,5C,LE
LE_3a_05_L,LE-3-5C-5-L,5C,LE
LE_3a_12_E,LE-3-5C-12-E,5C,LE
LE_3a_08_E,LE-3-5C-8-E,5C,LE
LE_3a_04_L,LE-3-5C-4-L,5C,LE
LE_3a_07_E,LE-3-5C-7-E,5C,LE
LE_3a_11_L,LE-3-5C-11-L,5C,LE
LE_3a_09_E,LE-3-5C-9-E,5C,LE
LE_3a_14_L,LE-3-5C-14-L,5C,LE
LE_3a_10_L,LE-3-5C-10-L,5C,LE
LE_2b_06_L,LE-2-7B-6-L,7B,LE
LE_2b_03_E,LE-2-7B-3-E,7B,LE
LE_2b_08_L,LE-2-7B-8-L,7B,LE
LE_2b_04_L,LE-2-7B-4-L,7B,LE
LE_2b_01_E,LE-2-7B-1-E,7B,LE
LE_2b_07_L,LE-2-7B-7-L,7B,LE
LE_2b_05_E,LE-2-7B-5-E,7B,LE
LE_2b_02_E,LE-2-7B-2-E,7B,LE
LE_2a_12_L,LE-2-7C-12-L,7C,LE
LE_2a_13_E,LE-2-7C-13-E,7C,LE
LE_2a_15_E,LE-2-7C-15-E,7C,LE
LE_2a_16_L,LE-2-7C-16-L,7C,LE
LE_2a_14_L,LE-2-7C-14-L,7C,LE
LE_2a_11_E,LE-2-7C-11-E,7C,LE
LE_2a_09_L,LE-2-7C-9-L,7C,LE
LE_2a_10_E,LE-2-7C-10-E,7C,LE
LE_1b_07_E,LE-1-9A-7-E,9A,LE
LE_1b_03_E,LE-1-9A-3-E,9A,LE
LE_1b_05_E,LE-1-9A-5-E,9A,LE
LE_1b_06_L,LE-1-9A-6-L,9A,LE
LE_1b_04_L,LE-1-9A-4-L,9A,LE
LE_1b_02_L,LE-1-9A-2-L,9A,LE
LE_1b_01_L,LE-1-9A-1-L,9A,LE
LE_1a_08_E,LE-1-9B-8-E,9B,LE
LE_1a_10_L,LE-1-9B-10-L,9B,LE
LE_1a_13_L,LE-1-9B-13-L,9B,LE
LE_1a_16_E,LE-1-9B-16-E,9B,LE
LE_1a_11_E,LE-1-9B-11-E,9B,LE
LE_1a_15_L,LE-1-9B-15-L,9B,LE
LE_1a_12_L,LE-1-9B-12-L,9B,LE
LE_1a_14_E,LE-1-9B-14-E,9B,LE
LE_1a_09_E,LE-1-9B-9-E,9B,LE
LV_1b_11_L,LV-1-2-11-L,2,LV
LV_1b_13_L,LV-1-2-13-L,2,LV
LV_1b_12_L,LV-1-2-12-L,2,LV
LV_1a_07_L,LV-1-3-7-L,3,LV
LV_1a_08_E,LV-1-3-8-E,3,LV
LV_1a_14_E,LV-1-3-14-E,3,LV
LV_1a_03_L,LV-1-3-3-L,3,LV
LV_1a_16_E,LV-1-3-16-E,3,LV
LV_1a_06_L,LV-1-3-6-L,3,LV
LV_1a_15_E,LV-1-3-15-E,3,LV
LV_1a_05_E,LV-1-3-5-E,3,LV
LV_1a_04_E,LV-1-3-4-E,3,LV
LV_1a_02_E,LV-1-3-2-E,3,LV
LV_1a_01_L,LV-1-3-1-L,3,LV
LV_1a_09_L,LV-1-3-9-L,3,LV
LV_1a_10_E,LV-1-3-10-E,3,LV
LV_2b_06_L,LV-2-7-6-L,7,LV
LV_2b_07_L,LV-2-7-7-L,7,LV
LV_2b_12_L,LV-2-7-12-L,7,LV
LV_2b_05_E,LV-2-7-5-E,7,LV
LV_2b_13_L,LV-2-7-13-L,7,LV
LV_2b_11_L,LV-2-7-11-L,7,LV
LV_2b_03_L,LV-2-7-3-L,7,LV
LV_2b_02_E,LV-2-7-2-E,7,LV
LV_2b_09_E,LV-2-7-9-E,7,LV
LV_2b_10_E,LV-2-7-10-E,7,LV
LV_2b_04_L,LV-2-7-4-L,7,LV
LV_2b_01_L,LV-2-7-1-L,7,LV
LV_2b_08_E,LV-2-7-8-E,7,LV
LV_2a_15_E,LV-2-8-15-E,8,LV
LV_2a_14_E,LV-2-8-14-E,8,LV
LV_2a_16_E,LV-2-8-16-E,8,LV
LV_3c_15_E,LV-3-10-15-E,10,LV
LV_3c_14_E,LV-3-10-14-E,10,LV
LV_3c_09_L,LV-3-10-9-L,10,LV
LV_3c_12_E,LV-3-10-12-E,10,LV
LV_3c_13_E,LV-3-10-13-E,10,LV
LV_3c_08_L,LV-3-10-8-L,10,LV
LV_3c_11_L,LV-3-10-11-L,10,LV
LV_3c_10_L,LV-3-10-10-L,10,LV
LV_3b_07_E,LV-3-11-7-E,11,LV
LV_3b_01_L,LV-3-11-1-L,11,LV
LV_3b_02_E,LV-3-11-2-E,11,LV
LV_3b_04_E,LV-3-11-4-E,11,LV
LV_3b_03_E,LV-3-11-3-E,11,LV
LV_3b_06_L,LV-3-11-6-L,11,LV
LV_3b_05_L,LV-3-11-5-L,11,LV
LV_3a_16_L,LV-3-12-16-L,12,LV
LV_4b_11_E,LV-4-15-11-E,15,LV
LV_4b_12_E,LV-4-15-12-E,15,LV
LV_4b_09_E,LV-4-15-9-E,15,LV
LV_4b_13_L,LV-4-15-13-L,15,LV
LV_4b_04_L,LV-4-15-4-L,15,LV
LV_4b_02_L,LV-4-15-2-L,15,LV
LV_4b_01_E,LV-4-15-1-E,15,LV
LV_4b_06_E,LV-4-15-6-E,15,LV
LV_4b_10_L,LV-4-15-10-L,15,LV
LV_4b_05_E,LV-4-15-5-E,15,LV
LV_4b_08_E,LV-4-15-8-E,15,LV
LV_4b_07_E,LV-4-15-7-E,15,LV
LV_4b_03_L,LV-4-15-3-L,15,LV
LV_4a_15_L,LV-4-18-15-L,18,LV
LV_4a_16_L,LV-4-18-16-L,18,LV
LV_4a_14_L,LV-4-18-14-L,18,LV
