FullID	Site	Succession	SampleVolume_mL	Altitude
CB1a01L	CB	Late	7.5	605
CB1a02L	CB	Late	4.5	605
CB1a03E	CB	Early	2.5	605
CB1a04L	CB	Late	9	605
CB1a05L	CB	Late	5	605
CB1a06E	CB	Early	5	605
CB1a07E	CB	Early	4.5	605
CB1a08E	CB	Early	5	605
CB1a09L	CB	Late	1.5	605
CB1a10L	CB	Late	4	605
CB1a11E	CB	Early	3	605
CB1a12L	CB	Late	2	605
CB1a13E	CB	Early	1.5	605
CB1a14E	CB	Early	3	605
CB1a15L	CB	Late	7	605
CB1b16E	CB	Early	2	605
CB1N01M	CB	Moss	0.873800000000001	605
CB1N02M	CB	Moss	0.812100000000001	605
CB2a01E	CB	Early	1.5	605
CB2a02E	CB	Early	1.5	605
CB2a03L	CB	Late	2.5	605
CB2a04L	CB	Late	2	605
CB2a05E	CB	Early	1.5	605
CB2a06E	CB	Early	1.5	605
CB2a07L	CB	Late	1	605
CB2a08L	CB	Late	3	605
CB2a09L	CB	Late	1.5	605
CB2a10E	CB	Early	1.5	605
CB2a11E	CB	Early	2	605
CB2b12E	CB	Early	1.5	605
CB2b13L	CB	Late	1	605
CB2b14L	CB	Late	1.5	605
CB2b15L	CB	Late	2	605
CB2b16L	CB	Late	5	605
CB2N01M	CB	Moss	0.564600000000001	605
CB2N02M	CB	Moss	0.730700000000001	605
CB3a06L	CB	Late	2.5	605
CB3a07E	CB	Early	2.5	605
CB3a08E	CB	Early	3	605
CB3a09E	CB	Early	3	605
CB3a10E	CB	Early	2.5	605
CB3a11E	CB	Early	2.5	605
CB3a12L	CB	Late	3	605
CB3a13L	CB	Late	3	605
CB3a14L	CB	Late	5	605
CB3a15L	CB	Late	1.5	605
CB3b01E	CB	Early	1.5	605
CB3b02E	CB	Early	1	605
CB3b03L	CB	Late	2	605
CB3b04L	CB	Late	1	605
CB3b05E	CB	Early	1	605
CB3c16L	CB	Late	3	605
CB3N01M	CB	Moss	0.571500000000001	605
CB3N02M	CB	Moss	0.822200000000001	605
CB4a01L	CB	Late	5	605
CB4a02L	CB	Late	1.5	605
CB4a03E	CB	Early	3	605
CB4a04L	CB	Late	3	605
CB4a05E	CB	Early	2.5	605
CB4a06L	CB	Late	7	605
CB4a07L	CB	Late	2	605
CB4a08L	CB	Late	3	605
CB4a09E	CB	Early	3	605
CB4a10L	CB	Late	3	605
CB4a11E	CB	Early	3	605
CB4b12E	CB	Early	2.5	605
CB4b13E	CB	Early	1.5	605
CB4b14L	CB	Late	2	605
CB4N01M	CB	Moss	0.561600000000001	605
CB4N02M	CB	Moss	0.658900000000001	605
LE1a08E	LE	Early	10	1022
LE1a09E	LE	Early	7.5	1022
LE1a10L	LE	Late	30	1022
LE1a11E	LE	Early	10	1022
LE1a12L	LE	Late	15	1022
LE1a13L	LE	Late	5	1022
LE1a14E	LE	Early	5	1022
LE1a15L	LE	Late	10	1022
LE1a16E	LE	Early	4	1022
LE1b01L	LE	Late	7	1022
LE1b02L	LE	Late	17	1022
LE1b03E	LE	Early	4	1022
LE1b04L	LE	Late	6	1022
LE1b05E	LE	Early	3.5	1022
LE1b06L	LE	Late	4	1022
LE1b07E	LE	Early	4	1022
LE1N01M	LE	Moss	0.5732	1022
LE1N02M	LE	Moss	0.719000000000001	1022
LE2a09L	LE	Late	5	1022
LE2a10E	LE	Early	10	1022
LE2a11E	LE	Early	9	1022
LE2a12L	LE	Late	8	1022
LE2a13E	LE	Early	8	1022
LE2a14L	LE	Late	7.5	1022
LE2a15E	LE	Early	6	1022
LE2a16L	LE	Late	4	1022
LE2b01E	LE	Early	12.5	1022
LE2b02E	LE	Early	4.5	1022
LE2b03E	LE	Early	7	1022
LE2b04L	LE	Late	5	1022
LE2b05E	LE	Early	7.5	1022
LE2b06L	LE	Late	5	1022
LE2b07L	LE	Late	4	1022
LE2b08L	LE	Late	2.5	1022
LE2N01M	LE	Moss	0.956400000000001	1022
LE2N02M	LE	Moss	0.7669	1022
LE3a03E	LE	Early	10	1022
LE3a04L	LE	Late	16	1022
LE3a05L	LE	Late	14.5	1022
LE3a06E	LE	Early	4.5	1022
LE3a07E	LE	Early	4.5	1022
LE3a08E	LE	Early	5	1022
LE3a09E	LE	Early	5	1022
LE3a10L	LE	Late	7	1022
LE3a11L	LE	Late	5	1022
LE3a12E	LE	Early	4	1022
LE3a13L	LE	Late	6	1022
LE3a14L	LE	Late	9.5	1022
LE3a15E	LE	Early	3	1022
LE3b01E	LE	Early	5	1022
LE3b02L	LE	Late	4	1022
LE3b16L	LE	Late	4	1022
LE3N01M	LE	Moss	0.668700000000001	1022
LE3N02M	LE	Moss	0.901500000000001	1022
LE4a11E	LE	Early	5	1022
LE4a16L	LE	Late	5	1022
LE4b01L	LE	Late	5	1022
LE4b02E	LE	Early	5	1022
LE4b03E	LE	Early	5	1022
LE4b04L	LE	Late	5	1022
LE4b05E	LE	Early	5	1022
LE4b06E	LE	Early	2	1022
LE4b07E	LE	Early	5	1022
LE4b08L	LE	Late	10	1022
LE4b09E	LE	Early	10.5	1022
LE4b10L	LE	Late	2	1022
LE4c12L	LE	Late	10	1022
LE4c13E	LE	Early	4	1022
LE4c14L	LE	Late	5	1022
LE4c15L	LE	Late	1.5	1022
LE4N01M	LE	Moss	1.078	1022
LE4N02M	LE	Moss	1.2355	1022
LM1a09L	LM	Late	5	1443
LM1a10E	LM	Early	10	1443
LM1a11L	LM	Late	4	1443
LM1a12E	LM	Early	5	1443
LM1a13L	LM	Late	5	1443
LM1a14E	LM	Early	7.5	1443
LM1a15E	LM	Early	7.5	1443
LM1a16L	LM	Late	15	1443
LM1b01E	LM	Early	5	1443
LM1b02E	LM	Early	10	1443
LM1b03L	LM	Late	5	1443
LM1b04E	LM	Early	5	1443
LM1b05L	LM	Late	5	1443
LM1b06E	LM	Early	5	1443
LM1b07L	LM	Late	7.5	1443
LM1b08L	LM	Late	7.5	1443
LM1N01M	LM	Moss	1.0783	1443
LM1N02M	LM	Moss	1.0208	1443
LM2a09E	LM	Early	7.5	1443
LM2a10E	LM	Early	5	1443
LM2a11L	LM	Late	4	1443
LM2a12E	LM	Early	7.5	1443
LM2a13L	LM	Late	4	1443
LM2a14L	LM	Late	7	1443
LM2a15L	LM	Late	7.5	1443
LM2b01L	LM	Late	5	1443
LM2b02E	LM	Early	7	1443
LM2b03L	LM	Late	5	1443
LM2b04E	LM	Early	9	1443
LM2b05L	LM	Late	10	1443
LM2b06E	LM	Early	5	1443
LM2b07E	LM	Early	5	1443
LM2b08L	LM	Late	2	1443
LM2b16E	LM	Early	5	1443
LM2N01M	LM	Moss	0.848100000000001	1443
LM2N02M	LM	Moss	0.831300000000001	1443
LM3a08L	LM	Late	7.5	1443
LM3a09E	LM	Early	5	1443
LM3a10L	LM	Late	9.5	1443
LM3a11E	LM	Early	7.5	1443
LM3a12E	LM	Early	7.5	1443
LM3a13E	LM	Early	7.5	1443
LM3b14L	LM	Late	7.5	1443
LM3b15L	LM	Late	5	1443
LM3b16L	LM	Late	6	1443
LM3c01E	LM	Early	5	1443
LM3c02L	LM	Late	5	1443
LM3c03E	LM	Early	17.5	1443
LM3c04L	LM	Late	5	1443
LM3c05E	LM	Early	15	1443
LM3c06L	LM	Late	7.5	1443
LM3c07E	LM	Early	7.5	1443
LM3N01M	LM	Moss	0.906900000000001	1443
LM3N02M	LM	Moss	0.999900000000001	1443
LM4a06E	LM	Early	2.5	1443
LM4a07L	LM	Late	3.5	1443
LM4a08L	LM	Late	3.5	1443
LM4a09E	LM	Early	4.5	1443
LM4a10E	LM	Early	2.5	1443
LM4a11L	LM	Late	2.5	1443
LM4b01L	LM	Late	1.5	1443
LM4b02L	LM	Late	2.5	1443
LM4b03E	LM	Early	4.5	1443
LM4b04E	LM	Early	3.5	1443
LM4b18L	LM	Late	1.5	1443
LM4c05L	LM	Late	2.5	1443
LM4c12E	LM	Early	5	1443
LM4c13E	LM	Early	4	1443
LM4c14L	LM	Late	4	1443
LM4c15L	LM	Late	3	1443
LM4c16L	LM	Late	2.5	1443
LM4c17L	LM	Late	1	1443
LM4N01M	LM	Moss	1.0568	1443
LM4N02M	LM	Moss	1.0146	1443
LT1a14E	LT	Early	4.5	1239
LT1a15E	LT	Early	3	1239
LT1a16E	LT	Early	10	1239
LT1b01L	LT	Late	10	1239
LT1b02E	LT	Early	9	1239
LT1b03L	LT	Late	5	1239
LT1b04L	LT	Late	7	1239
LT1b12E	LT	Early	7.5	1239
LT1b13E	LT	Early	10	1239
LT1c05E	LT	Early	7.5	1239
LT1c06L	LT	Late	6	1239
LT1c07L	LT	Late	7.5	1239
LT1c08L	LT	Late	10	1239
LT1c09L	LT	Late	8	1239
LT1c10L	LT	Late	13	1239
LT1c11L	LT	Late	5	1239
LT1c17E	LT	Early	2	1239
LT1N01M	LT	Moss	0.854300000000001	1239
LT1N02M	LT	Moss	0.7677	1239
LT2a01L	LT	Late	14	1239
LT2a02L	LT	Late	15	1239
LT2a03E	LT	Early	4	1239
LT2a04L	LT	Late	10	1239
LT2a05E	LT	Early	7.5	1239
LT2a06E	LT	Early	10	1239
LT2a07L	LT	Late	15	1239
LT2a08L	LT	Late	12.5	1239
LT2a09E	LT	Early	12.5	1239
LT2b10E	LT	Early	10	1239
LT2b11L	LT	Late	9	1239
LT2b12E	LT	Early	4.5	1239
LT2b13L	LT	Late	5	1239
LT2b14L	LT	Late	4.5	1239
LT2b15E	LT	Early	5	1239
LT2b16E	LT	Early	4.5	1239
LT2N01M	LT	Moss	0.782400000000001	1239
LT2N02M	LT	Moss	0.693900000000001	1239
LT3a01L	LT	Late	12.5	1239
LT3a02E	LT	Early	14	1239
LT3a03L	LT	Late	7.5	1239
LT3a04E	LT	Early	4.5	1239
LT3a05E	LT	Early	5	1239
LT3a06E	LT	Early	5.5	1239
LT3a07L	LT	Late	19	1239
LT3a08E	LT	Early	12.5	1239
LT3a09L	LT	Late	7.5	1239
LT3a10E	LT	Early	7.5	1239
LT3a11E	LT	Early	2	1239
LT3a12E	LT	Early	7.5	1239
LT3a13L	LT	Late	15	1239
LT3a14L	LT	Late	10	1239
LT3a15L	LT	Late	2.5	1239
LT3a16L	LT	Late	14	1239
LT3N01M	LT	Moss	0.855100000000001	1239
LT3N02M	LT	Moss	0.954600000000001	1239
LT4a01L	LT	Late	10	1239
LT4a02L	LT	Late	4.5	1239
LT4a03L	LT	Late	5	1239
LT4a04L	LT	Late	10	1239
LT4a05L	LT	Late	10	1239
LT4a06E	LT	Early	5	1239
LT4a07E	LT	Early	5	1239
LT4a08L	LT	Late	15	1239
LT4a09E	LT	Early	17.5	1239
LT4a10E	LT	Early	19	1239
LT4a11L	LT	Late	10	1239
LT4a12L	LT	Late	15	1239
LT4b13E	LT	Early	10	1239
LT4b14E	LT	Early	4.5	1239
LT4b15E	LT	Early	4	1239
LT4b16E	LT	Early	12.5	1239
LT4N01M	LT	Moss	0.968700000000001	1239
LT4N02M	LT	Moss	1.0696	1239
LV1a01L	LV	Late	7.5	1019
LV1a02E	LV	Early	5	1019
LV1a03L	LV	Late	20	1019
LV1a04E	LV	Early	7	1019
LV1a05E	LV	Early	4	1019
LV1a06L	LV	Late	15	1019
LV1a07L	LV	Late	4	1019
LV1a08E	LV	Early	7	1019
LV1a09L	LV	Late	15	1019
LV1a10E	LV	Early	5	1019
LV1a14E	LV	Early	3.5	1019
LV1a15E	LV	Early	5	1019
LV1a16E	LV	Early	10	1019
LV1N01M	LV	Moss	1.214	1019
LV1N02M	LV	Moss	0.9855	1019
LV2a14E	LV	Early	12	1019
LV2a15E	LV	Early	5	1019
LV2a16E	LV	Early	7	1019
LV2b01L	LV	Late	7.5	1019
LV2b02E	LV	Early	3.5	1019
LV2b03L	LV	Late	15	1019
LV2b04L	LV	Late	9.5	1019
LV2b05E	LV	Early	4	1019
LV2b06L	LV	Late	7.5	1019
LV2b07L	LV	Late	12.5	1019
LV2b08E	LV	Early	2	1019
LV2b09E	LV	Early	4	1019
LV2b10E	LV	Early	4	1019
LV2b11L	LV	Late	4	1019
LV2b12L	LV	Late	5	1019
LV2b13L	LV	Late	4	1019
LV2N01M	LV	Moss	0.949600000000001	1019
LV2N02M	LV	Moss	0.816600000000001	1019
LV3a16L	LV	Late	2	1019
LV3b01L	LV	Late	3	1019
LV3b02E	LV	Early	4	1019
LV3b03E	LV	Early	2	1019
LV3b04E	LV	Early	1.5	1019
LV3b05L	LV	Late	2	1019
LV3b06L	LV	Late	2	1019
LV3b07E	LV	Early	5	1019
LV3c08L	LV	Late	2	1019
LV3c09L	LV	Late	2	1019
LV3c10L	LV	Late	1.5	1019
LV3c11L	LV	Late	3	1019
LV3c12E	LV	Early	2.5	1019
LV3c13E	LV	Early	1.5	1019
LV3c14E	LV	Early	2	1019
LV3c15E	LV	Early	1.5	1019
LV3N01M	LV	Moss	0.875600000000001	1019
LV3N02M	LV	Moss	0.924300000000001	1019
LV4a14L	LV	Late	4	1019
LV4a15L	LV	Late	1.5	1019
LV4a16L	LV	Late	2	1019
LV4b01E	LV	Early	4	1019
LV4b02L	LV	Late	4	1019
LV4b03L	LV	Late	7.5	1019
LV4b04L	LV	Late	7.5	1019
LV4b05E	LV	Early	3.5	1019
LV4b06E	LV	Early	4	1019
LV4b07E	LV	Early	2	1019
LV4b08E	LV	Early	2	1019
LV4b09E	LV	Early	4	1019
LV4b10L	LV	Late	5	1019
LV4b11E	LV	Early	10	1019
LV4b12E	LV	Early	3.5	1019
LV4b13L	LV	Late	4	1019
LV4N01M	LV	Moss	0.893800000000001	1019
LV4N02M	LV	Moss	1.2381	1019
MC0020P	MC	16S MC Pilot	NA	NA
MC0020R	MC	16S MC SMP	NA	NA
MC0100P	MC	16S MC Pilot	NA	NA
MC0100R	MC	16S MC SMP	NA	NA
NCNNNNN	NC	NC Pilot	NA	NA
NCNNNNO	NC	NC SMP	NA	NA
CB1N01Q	CB	Moss	0.873800000000001	605
CB1N02Q	CB	Moss	0.812100000000001	605
CB2N01Q	CB	Moss	0.564600000000001	605
CB2N02Q	CB	Moss	0.730700000000001	605
CB3N01Q	CB	Moss	0.571500000000001	605
CB3N02Q	CB	Moss	0.822200000000001	605
CB4N01Q	CB	Moss	0.561600000000001	605
CB4N02Q	CB	Moss	0.658900000000001	605
LE1N01Q	LE	Moss	0.5732	1022
LE1N02Q	LE	Moss	0.719000000000001	1022
LE2N01Q	LE	Moss	0.956400000000001	1022
LE2N02Q	LE	Moss	0.7669	1022
LE3N01Q	LE	Moss	0.668700000000001	1022
LE3N02Q	LE	Moss	0.901500000000001	1022
LE4N01Q	LE	Moss	1.078	1022
LE4N02Q	LE	Moss	1.2355	1022
LM1N01Q	LM	Moss	1.0783	1443
LM1N02Q	LM	Moss	1.0208	1443
LM2N01Q	LM	Moss	0.848100000000001	1443
LM2N02Q	LM	Moss	0.831300000000001	1443
LM3N01Q	LM	Moss	0.906900000000001	1443
LM3N02Q	LM	Moss	0.999900000000001	1443
LM4N01Q	LM	Moss	1.0568	1443
LM4N02Q	LM	Moss	1.0146	1443
LT1N01Q	LT	Moss	0.854300000000001	1239
LT1N02Q	LT	Moss	0.7677	1239
LT2N01Q	LT	Moss	0.782400000000001	1239
LT2N02Q	LT	Moss	0.693900000000001	1239
LT3N01Q	LT	Moss	0.855100000000001	1239
LT3N02Q	LT	Moss	0.954600000000001	1239
LT4N01Q	LT	Moss	0.968700000000001	1239
LT4N02Q	LT	Moss	1.0696	1239
LV1N01Q	LV	Moss	1.214	1019
LV1N02Q	LV	Moss	0.9855	1019
LV2N01Q	LV	Moss	0.949600000000001	1019
LV2N02Q	LV	Moss	0.816600000000001	1019
LV3N01Q	LV	Moss	0.875600000000001	1019
LV3N02Q	LV	Moss	0.924300000000001	1019
LV4N01Q	LV	Moss	0.893800000000001	1019
LV4N02Q	LV	Moss	1.2381	1019
CB1a01Lr	CB	Late	7.5	605
CB1a02Lr	CB	Late	4.5	605
CB1a03Er	CB	Early	2.5	605
CB1a04Lr	CB	Late	9	605
CB1a05Lr	CB	Late	5	605
CB1a06Er	CB	Early	5	605
CB1a07Er	CB	Early	4.5	605
